state,state_fips,county_name,county_fips,year,market_or_full_value,assessed_value,net_assessed_value,county_taxable_value,school_taxable_value,market_or_full_value_growth_since_2000,assessed_value_growth_since_2000,net_assessed_value_growth_since_2000,county_taxable_value_growth_since_2000,school_taxable_value_growth_since_2000,market_or_full_value_index_2000_100,assessed_value_index_2000_100,net_assessed_value_index_2000_100,county_taxable_value_index_2000_100,school_taxable_value_index_2000_100
FL,12,Alachua,12001,2000,11765772999.0,,,6059970352.0,6059970352.0,0.0,,,0.0,0.0,100.0,,,100.0,100.0
FL,12,Alachua,12001,2001,12638786207.0,,,6655961286.0,6656767656.0,0.07419939243041651,,,0.09834882010657076,0.09848188511401479,107.41993924304165,,,109.83488201065708,109.84818851140147
FL,12,Alachua,12001,2002,13106639126.0,,,7143329037.0,7151495817.0,0.11396328376503306,,,0.17877293486138157,0.18012059492003263,111.3963283765033,,,117.87729348613816,118.01205949200326
FL,12,Alachua,12001,2003,14109419913.0,,,7863116773.0,7878456743.0,0.19919192000382746,,,0.29755037009461605,0.3000817306638863,119.91919200038275,,,129.7550370094616,130.00817306638862
FL,12,Alachua,12001,2004,16041677784.0,,,8530910912.0,8559759742.0,0.3634189428406802,,,0.40774796186659623,0.41250851816048617,136.34189428406802,,,140.77479618665961,141.25085181604862
FL,12,Alachua,12001,2005,17823042535.0,,,9636626680.0,9675417960.0,0.514821213745567,,,0.5902102024013334,0.5966114350389151,151.4821213745567,,,159.02102024013334,159.6611435038915
FL,12,Alachua,12001,2006,20568552759.0,,,11211533207.0,11252733947.0,0.748168417047326,,,0.8500970393856475,0.8568958746285298,174.81684170473258,,,185.00970393856474,185.68958746285298
FL,12,Alachua,12001,2007,23455508228.0,,,12815621528.0,12860218348.0,0.993537375741784,,,1.1147993774871194,1.1221586247126907,199.3537375741784,,,211.47993774871193,212.21586247126908
FL,12,Alachua,12001,2008,24587376718.0,,,12671774593.0,13713347543.0,1.089737471570269,,,1.0910621433680574,1.2629397086858885,208.9737471570269,,,209.10621433680575,226.29397086858884
FL,12,Alachua,12001,2009,24355527368.0,,,12558830292.0,13636990894.0,1.0700320641975698,,,1.072424378752142,1.2503395399449966,207.003206419757,,,207.2424378752142,225.03395399449965
FL,12,Alachua,12001,2010,23776155217.0,21593420067.0,,12057377601.0,13132916152.0,1.020789897869081,,,0.9896760051013531,1.1671584824941732,202.0789897869081,,,198.9676005101353,216.71584824941732
FL,12,Alachua,12001,2011,23779386220.0,22092238431.0,,11667559952.0,12721618741.0,1.0210645082155727,,,0.9253493456695381,1.0992872905395363,202.10645082155727,,,192.5349345669538,209.92872905395365
FL,12,Alachua,12001,2012,22988477480.0,21523727475.0,,11276292381.0,12314376169.0,0.9538433626038716,,,0.8607834240110488,1.032085217205036,195.38433626038716,,,186.0783424011049,203.2085217205036
FL,12,Alachua,12001,2013,23253122839.0,21724773529.0,,11258730745.0,12447329908.0,0.9763361779099713,,,0.8578854500970008,1.054024885433961,197.63361779099714,,,185.78854500970007,205.4024885433961
